,embedding_dim,epochs,lr,model,num_negs_per_pos,hits@1,hits@3,hits@10,mean_reciprocal_rank
240,112,500,0.001,transe,100,0.03265765765765766,0.14414414414414414,0.17792792792792791,0.09610971063375473
241,272,300,0.01,rgcn,100,0.08220720720720721,0.15765765765765766,0.26576576576576577,0.1485777348279953
242,32,500,0.001,complex,100,0.0,0.0033783783783783786,0.02702702702702703,0.010272721759974957
243,288,500,0.002,transe,70,0.0259009009009009,0.17229729729729729,0.22072072072072071,0.11055029928684233
244,464,300,0.001,transe,20,0.02927927927927928,0.14527027027027026,0.19031531531531531,0.09701050072908401
245,336,200,0.02,complex,40,0.0022522522522522522,0.006756756756756757,0.015765765765765764,0.00873236358165741
246,384,300,0.05,transe,10,0.10247747747747747,0.13063063063063063,0.15090090090090091,0.12205751240253447
247,176,500,0.005,complex,10,0.010135135135135136,0.013513513513513514,0.024774774774774775,0.016782142221927643
248,368,500,0.02,complex,1,0.01463963963963964,0.02364864864864865,0.06531531531531531,0.03284278139472008
249,192,500,0.002,rgcn,70,0.09346846846846847,0.21621621621621623,0.4166666666666667,0.19818033277988434
250,480,300,0.001,distmult,1,0.16328828828828829,0.33896396396396394,0.4527027027027027,0.2728205919265747
251,64,400,0.1,complex,80,0.024774774774774775,0.04617117117117117,0.10472972972972973,0.055984824895858765
252,272,200,0.02,transe,100,0.0033783783783783786,0.0945945945945946,0.16103603603603603,0.06758082658052444
253,160,200,0.002,complex,40,0.0022522522522522522,0.0033783783783783786,0.006756756756756757,0.005971950478851795
254,192,200,0.002,rgcn,20,0.134009009009009,0.23423423423423423,0.37725225225225223,0.2139412313699722
255,112,200,0.001,transe,40,0.0,0.1036036036036036,0.14527027027027026,0.05853661522269249
256,352,200,0.1,distmult,60,0.12162162162162163,0.19031531531531531,0.3322072072072072,0.18798516690731049
257,256,400,0.1,complex,70,0.012387387387387387,0.03153153153153153,0.060810810810810814,0.035594455897808075
258,80,400,0.01,distmult,70,0.07207207207207207,0.2195945945945946,0.3524774774774775,0.16910420358181
259,432,300,0.001,rgcn,60,0.10135135135135136,0.22072072072072071,0.3975225225225225,0.1983698457479477
260,320,400,0.01,rgcn,90,0.05855855855855856,0.15765765765765766,0.30180180180180183,0.13823123276233673
261,96,100,0.05,rgcn,50,0.02364864864864865,0.1204954954954955,0.18355855855855857,0.08610416203737259
262,192,500,0.001,distmult,50,0.17792792792792791,0.31756756756756754,0.45495495495495497,0.2748074531555176
263,400,100,0.01,rgcn,30,0.07545045045045046,0.13288288288288289,0.24436936936936937,0.13351976871490479
264,304,500,0.001,complex,10,0.0011261261261261261,0.0011261261261261261,0.00563063063063063,0.004313693847507238
265,16,200,0.02,distmult,20,0.08333333333333333,0.14189189189189189,0.23085585585585586,0.13937930762767792
266,32,300,0.1,rgcn,70,0.0,0.0011261261261261261,0.0022522522522522522,0.0031026285141706467
267,192,100,0.002,rgcn,70,0.10810810810810811,0.20608108108108109,0.36036036036036034,0.1953601837158203
